,cancer_type,cellosaurus_id,standard_drug_name,dataset,info,IC50,IC90,EC50,Einf,AUC
90,kidney,769-P,Bleomycin (10 uM),All,GDSC1,0.665571,12.5975,-3.68059,0.619909,44.1059
91,kidney,769-P,Bleomycin (50 uM),All,GDSC1,1.25164,14.5545,-2.8479,0.673808,51.5626
92,kidney,769-P,bleomycin A2,All,CTRP2,6.86763,14.784,2.3403,0.443124,13.7571
93,kidney,769-P,BMS-195614,All,CTRP2,8.47521,15.6401,3.08987,0.321815,8.33333
94,kidney,769-P,BMS-270394,All,CTRP2,8.18712,9.55648,5.60248,0.0311247,0.131284
95,kidney,769-P,BMS-345541,All,"GDSC2,GDSC1",2.58122,4.45505,2.30723,0.840726,14.7205
96,kidney,769-P,BMS-536924,All,"GDSC2,GDSC1",3.25144,4.65338,2.59658,0.527591,4.80161
97,kidney,769-P,BMS-754807,All,"CTRP2,GDSC1",5.37565,11.5257,2.07548,0.470447,11.7771
98,kidney,769-P,Bortezomib,All,"CTRP2,GDSC2",-5.48472,-1.68841,-6.13793,0.813187,19.3765
99,kidney,769-P,Bosutinib,All,"CTRP2,GDSC1",1.3887,5.19586,1.16749,0.936252,31.748
100,kidney,769-P,BPD-00008900,All,GDSC2,2.86625,6.61228,1.28312,0.566424,14.233
101,kidney,769-P,BPTES,All,GDSC1,3.34903,7.20327,1.4038,0.496137,14.8051
102,kidney,769-P,BRD-A02303741,All,CTRP2,8.01342,9.59144,5.26768,0.0427826,0.209608
103,kidney,769-P,BRD-A02303741:carboplatin (1:1 mol/mol),All,CTRP2,8.15362,9.38961,5.64791,0.0229861,0.0871481
104,kidney,769-P,BRD-A02303741:navitoclax (2:1 mol/mol),All,CTRP2,5.28405,8.15041,4.07941,0.568518,7.29788
105,kidney,769-P,BRD-A71883111,All,CTRP2,6.26557,8.18062,4.33903,0.197639,1.27858
106,kidney,769-P,BRD-A94377914,All,CTRP2,3.64135,5.51016,3.36479,0.838838,10.3431
107,kidney,769-P,BRD-K02251932,All,CTRP2,7.36732,8.93183,5.49737,0.134943,0.687647
108,kidney,769-P,BRD-K02492147,All,CTRP2,8.50772,10.6283,5.33856,0.0722662,0.482292
109,kidney,769-P,BRD-K03536150,All,CTRP2,6.75605,8.33733,5.42279,0.271138,1.51638
110,kidney,769-P,BRD-K03911514,All,CTRP2,8.58923,10.0578,5.57372,0.021724,0.0978021
111,kidney,769-P,BRD-K04800985,All,CTRP2,8.15208,9.63845,5.56066,0.042464,0.195557
112,kidney,769-P,BRD-K07442505,All,CTRP2,8.39415,9.88374,5.56397,0.0302949,0.138944
113,kidney,769-P,BRD-K09587429,All,CTRP2,8.6513,10.2457,5.53149,0.0267911,0.131285
114,kidney,769-P,BRD-K11533227,All,CTRP2,7.71954,12.626,4.0232,0.320783,5.74604
115,kidney,769-P,BRD-K13185470,All,CTRP2,8.34202,10.1564,5.44685,0.0582814,0.330351
116,kidney,769-P,BRD-K13999467,All,CTRP2,6.33565,7.55028,5.51822,0.371246,1.70889
117,kidney,769-P,BRD-K14844214,All,CTRP2,8.31927,9.79093,5.56902,0.032406,0.146996
118,kidney,769-P,BRD-K16130065,All,CTRP2,8.51887,10.2519,5.48076,0.0415951,0.223243
119,kidney,769-P,BRD-K16147474,All,CTRP2,8.57452,12.0201,4.80855,0.16611,1.89763
120,kidney,769-P,BRD-K17060750,All,CTRP2,8.49427,9.80705,5.62533,0.016296,0.0653998
121,kidney,769-P,BRD-K19103580,All,CTRP2,8.15169,9.76075,5.51647,0.0532739,0.267093
122,kidney,769-P,BRD-K20514654,All,CTRP2,8.15666,9.58688,5.58065,0.0375064,0.165777
123,kidney,769-P,BRD-K24690302,All,CTRP2,7.01903,8.99521,5.2804,0.252815,1.74629
124,kidney,769-P,BRD-K26531177,All,CTRP2,5.62463,8.19487,5.41925,0.91244,18.9795
125,kidney,769-P,BRD-K27188169,All,CTRP2,8.16749,9.88176,5.47835,0.0617327,0.331206
126,kidney,769-P,BRD-K27188169:navitoclax (2:1 mol/mol),All,CTRP2,8.97335,21.8106,0.139112,0.361266,15.786
127,kidney,769-P,BRD-K27224038,All,CTRP2,8.0821,9.72981,5.50024,0.0619599,0.319554
128,kidney,769-P,BRD-K27986637,All,CTRP2,8.26929,9.953,5.49252,0.0519828,0.272525
129,kidney,769-P,BRD-K28456706,All,CTRP2,8.80772,10.3082,5.5651,0.0171834,0.0788559
130,kidney,769-P,BRD-K29086754,All,CTRP2,7.94665,9.83558,5.40272,0.0986128,0.594617
131,kidney,769-P,BRD-K29313308,All,CTRP2,7.43144,10.7218,4.73586,0.283688,3.32839
132,kidney,769-P,BRD-K30019337,All,CTRP2,8.10163,9.87694,5.45328,0.0726866,0.406213
133,kidney,769-P,BRD-K33199242,All,CTRP2,8.49589,9.91648,5.58899,0.0220595,0.0960819
134,kidney,769-P,BRD-K34099515,All,CTRP2,9.00382,19.9686,1.36785,0.355938,13.7315
135,kidney,769-P,BRD-K34222889,All,CTRP2,3.15341,5.56508,3.00614,0.933013,19.767
136,kidney,769-P,BRD-K34485477,All,CTRP2,6.065,8.13049,3.29756,0.100048,0.709551
137,kidney,769-P,BRD-K35604418,All,CTRP2,12.1961,29.4148,-0.997418,0.313244,16.2242
138,kidney,769-P,BRD-K37390332,All,CTRP2,3.29257,4.92868,0.535657,0.048141,0.332893
139,kidney,769-P,BRD-K41334119,All,CTRP2,8.15795,9.89964,5.46787,0.0649883,0.354859
140,kidney,769-P,BRD-K41597374,All,CTRP2,5.94952,6.77661,5.5965,0.562676,2.07413
141,kidney,769-P,BRD-K44224150,All,CTRP2,7.53847,9.02505,4.60953,0.0260154,0.118474
142,kidney,769-P,BRD-K45681478,All,CTRP2,4.53065,5.88767,4.43241,0.920634,10.425
143,kidney,769-P,BRD-K48334597,All,CTRP2,8.58935,10.179,5.53228,0.0288116,0.140906
144,kidney,769-P,BRD-K49290616,All,CTRP2,8.47705,11.4832,4.98509,0.144546,1.42302
145,kidney,769-P,BRD-K50799972,All,CTRP2,5.93723,7.26487,5.3427,0.544224,3.16306
146,kidney,769-P,BRD-K51490254,All,CTRP2,8.36921,9.72205,5.6106,0.0224045,0.0929471
147,kidney,769-P,BRD-K52037352,All,CTRP2,7.79398,9.55014,5.44683,0.100743,0.565419
148,kidney,769-P,BRD-K55116708,All,CTRP2,5.59933,11.4951,2.93981,0.541372,13.8566
149,kidney,769-P,BRD-K58730230,All,CTRP2,7.27182,8.7939,4.55047,0.0385881,0.194576
150,kidney,769-P,BRD-K61166597,All,CTRP2,6.19243,12.2478,3.0652,0.486575,12.165
151,kidney,769-P,BRD-K63431240,All,CTRP2,0.526545,3.39772,0.488784,0.985552,36.8813
152,kidney,769-P,BRD-K64610608,All,CTRP2,7.48637,8.91303,4.58682,0.0227334,0.0994737
153,kidney,769-P,BRD-K66453893,All,CTRP2,5.32361,8.17995,4.32927,0.635169,8.73255
154,kidney,769-P,BRD-K66532283,All,CTRP2,6.51842,9.34205,4.77202,0.408815,4.50007
155,kidney,769-P,BRD-K70511574,All,CTRP2,2.41774,7.46871,1.62314,0.828869,26.9279
156,kidney,769-P,BRD-K71781559,All,CTRP2,8.39096,10.0822,5.49282,0.04528,0.23762
157,kidney,769-P,BRD-K71935468,All,CTRP2,8.49096,11.4288,5.31753,0.170437,1.66345
158,kidney,769-P,BRD-K75293299,All,CTRP2,8.53637,10.0372,5.5621,0.0253749,0.116962
159,kidney,769-P,BRD-K78574327,All,CTRP2,8.30161,9.96818,5.49955,0.0485239,0.251346
160,kidney,769-P,BRD-K79669418,All,CTRP2,8.14429,17.5045,1.9562,0.379203,13.0238
161,kidney,769-P,BRD-K80183349,All,CTRP2,8.06244,13.5087,3.83033,0.307006,6.03894
162,kidney,769-P,BRD-K84807411,All,CTRP2,8.6133,10.0034,5.60045,0.0169461,0.0720353
163,kidney,769-P,BRD-K85133207,All,CTRP2,8.71482,15.2139,3.44819,0.288471,6.65674
164,kidney,769-P,BRD-K86535717,All,CTRP2,8.4537,10.221,5.46699,0.0476373,0.261556
165,kidney,769-P,BRD-K88742110,All,CTRP2,6.0042,7.66713,5.19929,0.513273,3.6306
166,kidney,769-P,BRD-K92856060,All,CTRP2,4.93154,5.81317,4.56233,0.569854,2.25516
167,kidney,769-P,BRD-K94991378,All,CTRP2,6.40607,9.40996,4.88336,0.494327,6.20668
168,kidney,769-P,BRD-K96431673,All,CTRP2,8.39836,10.0531,5.50604,0.0420575,0.215576
169,kidney,769-P,BRD-K96970199,All,CTRP2,8.68685,10.2711,5.53545,0.0249674,0.121454
170,kidney,769-P,BRD-K97651142,All,CTRP2,2.45588,8.00833,1.45938,0.805347,27.3694
171,kidney,769-P,BRD-K99584050,All,CTRP2,7.78792,10.8054,4.91199,0.219327,2.26526
172,kidney,769-P,BRD1812,All,CTRP2,6.65518,9.61062,4.74116,0.388388,4.40571
173,kidney,769-P,BRD1835,All,CTRP2,6.89862,7.69835,6.57642,0.584186,2.13603
174,kidney,769-P,BRD4132,All,CTRP2,9.18667,10.9567,6.72472,0.0899019,0.506079
175,kidney,769-P,BRD4770,All,CTRP2,6.54983,8.18275,3.55893,0.0351168,0.189046
176,kidney,769-P,BRD55319,All,CTRP2,6.19815,8.43098,4.32917,0.274295,2.1666
177,kidney,769-P,BRD6340,All,CTRP2,5.85557,8.03516,4.15897,0.306245,2.41637
178,kidney,769-P,BRD6430,All,CTRP2,8.00958,16.2815,1.66334,0.312678,9.19337
179,kidney,769-P,BRD8899,All,CTRP2,7.43945,9.12361,4.49644,0.0421,0.219639
180,kidney,769-P,BRD8958,All,CTRP2,8.45065,9.92061,5.57157,0.026681,0.120533
181,kidney,769-P,BRD9647,All,CTRP2,5.58239,6.9002,4.51738,0.289664,1.3666
182,kidney,769-P,BRD9876,All,CTRP2,7.40383,8.86646,4.57344,0.0280741,0.146098
183,kidney,769-P,brefeldin A,All,CTRP2,-1.18628,3.22414,-1.34568,0.960315,42.8928
184,kidney,769-P,brivanib,All,CTRP2,8.20102,17.2825,2.10553,0.372435,12.3999
185,kidney,769-P,"Brivanib, BMS-540215",All,GDSC1,4.93977,10.488,1.73745,0.439133,17.2293
186,kidney,769-P,Bryostatin 1,All,GDSC1,-0.15061,10.5658,-10.9149,0.198238,10.6146
187,kidney,769-P,Buparlisib,All,GDSC2,1.23338,3.58413,0.96599,0.87568,22.3772
188,kidney,769-P,BX-912,All,GDSC1,3.63727,6.27065,2.12604,0.441626,8.71504
189,kidney,769-P,BX795,All,GDSC1,2.07687,3.03131,1.74685,0.637414,5.50853
190,kidney,769-P,C-75,All,GDSC1,5.68851,7.43883,3.70116,0.152451,1.64696
191,kidney,769-P,C6-ceramide,All,CTRP2,8.04214,9.52909,5.55786,0.0496421,0.22956
192,kidney,769-P,Cabozantinib,All,"CTRP2,GDSC1",2.93294,4.4747,1.73037,0.305337,2.25796
193,kidney,769-P,Camptothecin,All,GDSC2,-3.32114,0.533971,-5.24922,0.499888,12.1403
194,kidney,769-P,canertinib,All,CTRP2,1.35511,10.0074,-0.515172,0.76689,36.3617
195,kidney,769-P,"CAP-232, TT-232, TLN-232",All,GDSC1,3.20653,4.14952,3.14703,0.930794,14.3272
196,kidney,769-P,Capivasertib,All,GDSC1,5.05064,8.25051,3.35331,0.475343,11.6741
197,kidney,769-P,Carboplatin,All,CTRP2,8.32814,10.9278,5.14142,0.126726,1.0681
198,kidney,769-P,carboplatin:etoposide (40:17 mol/mol),All,CTRP2,6.18441,7.99307,4.81185,0.317533,2.09166
199,kidney,769-P,carboplatin:UNC0638 (2:1 mol/mol),All,CTRP2,8.10972,9.89767,5.0604,0.0460741,0.255466
200,kidney,769-P,Carmustine,All,GDSC2,5.66452,8.68442,3.60624,0.365578,6.27048
201,kidney,769-P,CAY10566,All,GDSC1,2.50491,4.71693,0.509136,0.242122,3.48734
202,kidney,769-P,CAY10576,All,CTRP2,8.33973,13.5801,3.97439,0.276396,5.1291
203,kidney,769-P,CAY10594,All,CTRP2,8.03112,16.0484,2.58587,0.367145,10.8923
204,kidney,769-P,CAY10603,All,GDSC1,-0.249205,1.98813,-0.271821,0.988895,56.8498
205,kidney,769-P,CAY10618,All,CTRP2,-1.55641,0.673723,-1.55945,0.998504,43.984
206,kidney,769-P,CCT-018159,All,GDSC1,3.43831,4.64612,2.75414,0.447269,4.07387
207,kidney,769-P,CCT007093,All,GDSC1,5.11795,6.86797,2.15096,0.0470813,0.480104
208,kidney,769-P,CCT036477,All,CTRP2,5.3135,6.7406,4.40878,0.397876,2.19509
209,kidney,769-P,CD-1530,All,CTRP2,4.94858,6.33026,4.90373,0.964355,14.0218
210,kidney,769-P,CD-437,All,CTRP2,0.176978,2.1906,0.153783,0.987346,28.608
211,kidney,769-P,CD532,All,GDSC1,1.30865,2.54645,1.15588,0.865228,14.113
212,kidney,769-P,CDK9_5038,All,GDSC2,-3.32248,1.95208,-3.87527,0.88537,49.4147
213,kidney,769-P,CDK9_5576,All,GDSC2,0.0750795,5.67304,-1.05655,0.781495,37.1183
214,kidney,769-P,Cediranib,All,GDSC2,1.92917,3.53912,1.73755,0.869983,15.0005
215,kidney,769-P,ceranib-2,All,CTRP2,2.68309,6.66058,2.19106,0.864927,24.1242
216,kidney,769-P,cerulenin,All,CTRP2,6.19048,7.90054,5.86115,0.791526,8.12195
217,kidney,769-P,Cetuximab,All,GDSC1,6.21801,31.1847,-6.3843,0.496084,40.9996
218,kidney,769-P,Ch-55,All,CTRP2,5.90816,8.10146,4.90024,0.534067,5.07887
219,kidney,769-P,CHEMBL1222381,All,CTRP2,8.69648,13.6725,5.77712,0.432019,8.51134
220,kidney,769-P,CHEMBL374350,All,CTRP2,5.68924,7.39927,2.50061,0.0326991,0.198743
221,kidney,769-P,CHIR-99021,All,"CTRP2,GDSC1",3.20842,4.59403,3.19944,0.992877,20.7526
222,kidney,769-P,chlorambucil,All,CTRP2,9.19973,12.7357,6.60372,0.332307,4.32597
223,kidney,769-P,CI-1033,All,GDSC1,-0.6196,9.68135,-3.09914,0.74155,54.7235
224,kidney,769-P,CI-1040,All,GDSC1,3.6497,8.50608,0.997689,0.462993,16.5465
225,kidney,769-P,CI-976,All,CTRP2,9.99282,11.4093,7.61368,0.0487,0.214214
226,kidney,769-P,ciclopirox,All,CTRP2,3.78424,6.04229,3.5784,0.900184,15.7774
227,kidney,769-P,ciclosporin,All,CTRP2,7.61205,9.14524,4.55198,0.0246095,0.115835
228,kidney,769-P,CIL41,All,CTRP2,10.0338,12.1037,6.64286,0.0532127,0.343521
229,kidney,769-P,CIL55,All,CTRP2,4.63551,7.67742,2.11731,0.279121,3.01564
230,kidney,769-P,CIL55A,All,CTRP2,4.91002,7.37679,4.40457,0.778617,11.267
231,kidney,769-P,CIL56,All,CTRP2,0.819018,1.28113,0.783666,0.916153,3.47423
232,kidney,769-P,CIL70,All,CTRP2,7.26622,10.9529,3.91432,0.238888,3.04799
233,kidney,769-P,cimetidine,All,CTRP2,10.1301,11.5676,7.60928,0.0415575,0.184835
234,kidney,769-P,Cisplatin,All,"GDSC2,GDSC1",4.33227,11.1386,0.220364,0.419175,14.3977
235,kidney,769-P,clofarabine,All,CTRP2,3.33691,10.7048,1.19873,0.69156,25.7141
236,kidney,769-P,Compound 1541A,All,CTRP2,5.19538,6.24296,4.68093,0.507378,2.24477
237,kidney,769-P,compound 1B,All,CTRP2,7.07907,9.7886,4.9484,0.301737,2.95065
238,kidney,769-P,Compound 23 citrate,All,CTRP2,4.25333,7.11546,3.29331,0.647323,9.04425
239,kidney,769-P,Compound 7d-cis,All,CTRP2,4.80274,6.85673,3.92972,0.56427,5.17368
240,kidney,769-P,CP466722,All,GDSC1,2.05478,3.99075,1.87964,0.90094,25.4527
241,kidney,769-P,CP724714,All,GDSC1,4.87139,11.6465,0.39593,0.379562,16.6759
242,kidney,769-P,CPI-613,All,GDSC1,7.17781,8.07832,7.08017,0.881438,10.9239
243,kidney,769-P,CR-1-31B,All,CTRP2,-4.01202,9.08416,-6.17574,0.820457,59.7114
244,kidney,769-P,Crizotinib,All,"CTRP2,GDSC2,CCLE",3.0714,3.96294,3.07087,0.999343,18.572
245,kidney,769-P,crizotinib:PLX-4032 (2:1 mol/mol),All,CTRP2,4.0467,5.39228,3.96252,0.931376,10.92
246,kidney,769-P,cucurbitacin I,All,CTRP2,-0.465245,2.14505,-0.488023,0.990413,36.7796
247,kidney,769-P,CUDC-101,All,GDSC1,-0.127114,2.32727,-0.346076,0.902303,32.3765
248,kidney,769-P,curcumin,All,CTRP2,4.20782,4.96386,3.94125,0.630928,2.85633
249,kidney,769-P,CX-5461,All,GDSC1,4.11464,15.3969,-2.04439,0.463137,29.211
250,kidney,769-P,cyanoquinoline 11,All,CTRP2,5.80029,7.49446,5.53541,0.829905,10.516
251,kidney,769-P,Cyclophosphamide,All,"CTRP2,GDSC2",8.68302,10.4396,6.41967,0.111326,0.631018
252,kidney,769-P,Cytarabine,All,"GDSC2,GDSC1",-1.68514,3.25334,-2.74938,0.767576,32.0445
253,kidney,769-P,cytarabine hydrochloride,All,CTRP2,5.79734,12.5719,2.57253,0.520021,14.907
254,kidney,769-P,cytochalasin B,All,CTRP2,4.58192,9.53198,2.40443,0.551141,11.9993
255,kidney,769-P,CZC24832,All,GDSC2,5.728,8.21082,2.47342,0.106282,1.27396
256,kidney,769-P,Dabrafenib,All,"GDSC2,GDSC1",1.49639,5.90372,0.311841,0.713021,24.783
257,kidney,769-P,Dacarbazine,All,CTRP2,8.30293,9.86558,5.53674,0.0400894,0.193858
258,kidney,769-P,Dacinostat,All,GDSC1,-4.98634,-3.1819,-4.98996,0.997792,62.5104
259,kidney,769-P,Dactinomycin,All,GDSC2,-7.29366,-3.83694,-7.33066,0.988243,42.894
260,kidney,769-P,Dactolisib,All,"GDSC2,GDSC1",-5.38219,0.328376,-5.79383,0.920973,49.3443
261,kidney,769-P,Daporinad,All,"CTRP2,GDSC2,GDSC1",-5.40742,-1.78202,-5.52747,0.96364,32.2544
262,kidney,769-P,darinaparsin,All,CTRP2,7.76934,9.22539,4.57966,0.0161105,0.0717043
263,kidney,769-P,Dasatinib,All,"CTRP2,GDSC2",-1.28118,4.94442,-1.67897,0.929919,46.2367
264,kidney,769-P,DBeQ,All,CTRP2,4.32723,5.61718,4.26737,0.949065,11.6445
