,id,standard_drug_name,gene,dataset,cancer_type,pvalue,correlation,provided_pvalue,provided_correlation,n_cell_line,provided_n_cell_line
22,31151024,3-Cl-AHPC,ABT1,All,pancan,5.51801e-15,-0.277075,,,767,
23,31151025,3-Cl-AHPC,ABTB2,All,pancan,1.1053e-15,0.283878,,,767,
24,31151026,3-Cl-AHPC,ACADM,All,pancan,1.06494e-17,-0.302541,,,767,
25,31151027,3-Cl-AHPC,ACAP1,All,pancan,1.96783e-11,-0.239094,,,767,
26,31151028,3-Cl-AHPC,ACBD6,All,pancan,6.667e-23,-0.345325,,,767,
27,31151029,3-Cl-AHPC,ACHE,All,pancan,1.07698e-08,0.204615,,,767,
28,31151030,3-Cl-AHPC,ACIN1,All,pancan,2.6292e-15,-0.280235,,,767,
29,31151031,3-Cl-AHPC,ACO1,All,pancan,3.72102e-09,0.210843,,,767,
30,31151032,3-Cl-AHPC,ACOT6,All,pancan,1.6289e-08,0.202137,,,767,
31,31151033,3-Cl-AHPC,ACOT9,All,pancan,1.73936e-08,0.201741,,,767,
32,31151034,3-Cl-AHPC,ACOX2,All,pancan,3.99321e-09,0.210436,,,767,
33,31151035,3-Cl-AHPC,ACP2,All,pancan,1.48348e-08,0.2027,,,767,
34,31151036,3-Cl-AHPC,ACRV1,All,pancan,1.86014e-11,-0.239378,,,767,
35,31151037,3-Cl-AHPC,ACSF3,All,pancan,3.56297e-11,-0.236075,,,767,
36,31151038,3-Cl-AHPC,ACTBL2,All,pancan,1.04033e-17,0.302632,,,767,
37,31151039,3-Cl-AHPC,ACTBP7,All,pancan,1.29023e-11,0.241216,,,767,
38,31151040,3-Cl-AHPC,ACTBP12,All,pancan,3.53413e-09,-0.211141,,,767,
39,31151041,3-Cl-AHPC,ACTG1P17,All,pancan,1.47203e-08,-0.202746,,,767,
40,31151042,3-Cl-AHPC,ACTN1,All,pancan,3.39119e-11,0.236328,,,767,
41,31151043,3-Cl-AHPC,ACTN4,All,pancan,6.21404e-22,0.337852,,,767,
42,31151044,3-Cl-AHPC,ACVR1,All,pancan,1.04403e-15,0.284116,,,767,
43,31151045,3-Cl-AHPC,ACVR2B,All,pancan,7.82148e-10,-0.219651,,,767,
44,31151046,3-Cl-AHPC,ACYP1,All,pancan,9.23114e-09,-0.205531,,,767,
45,31151047,3-Cl-AHPC,ADA2,All,pancan,9.33115e-12,-0.242831,,,767,
46,31151048,3-Cl-AHPC,ADAM9,All,pancan,5.66038e-21,0.330249,,,767,
47,31151049,3-Cl-AHPC,ADAM12,All,pancan,5.26173e-11,0.23407,,,767,
48,31151050,3-Cl-AHPC,ADAM22,All,pancan,5.25291e-15,-0.277286,,,767,
49,31151051,3-Cl-AHPC,ADAMTS9,All,pancan,1.17233e-13,0.263594,,,767,
50,31151052,3-Cl-AHPC,ADAMTS9-AS2,All,pancan,1.15195e-11,0.241782,,,767,
51,31151053,3-Cl-AHPC,ADAMTS15,All,pancan,3.72741e-17,0.297638,,,767,
52,31151054,3-Cl-AHPC,ADAMTS16,All,pancan,5.98549e-10,0.221125,,,767,
53,31151055,3-Cl-AHPC,ADAMTSL5,All,pancan,5.61867e-14,0.266908,,,767,
54,31151056,3-Cl-AHPC,ADAR,All,pancan,8.56635e-14,-0.265013,,,767,
55,31151057,3-Cl-AHPC,ADAT2,All,pancan,1.53092e-25,-0.364704,,,767,
56,31151058,3-Cl-AHPC,ADCY6,All,pancan,1.23114e-11,0.24145,,,767,
57,31151059,3-Cl-AHPC,ADGRF3,All,pancan,6.36758e-09,-0.207719,,,767,
58,31151060,3-Cl-AHPC,ADGRF4,All,pancan,1.50445e-10,0.228573,,,767,
59,31151061,3-Cl-AHPC,ADGRG1,All,pancan,5.53432e-17,0.296072,,,767,
60,31151062,3-Cl-AHPC,ADGRG6,All,pancan,3.77387e-13,0.258228,,,767,
61,31151063,3-Cl-AHPC,ADM,All,pancan,3.96645e-14,0.268461,,,767,
62,31151064,3-Cl-AHPC,ADM5,All,pancan,1.52293e-16,-0.292015,,,767,
63,31151065,3-Cl-AHPC,ADNP2,All,pancan,1.9351e-15,-0.28153,,,767,
64,31151066,3-Cl-AHPC,ADORA1,All,pancan,1.87196e-13,0.26146,,,767,
65,31151067,3-Cl-AHPC,ADPGK-AS1,All,pancan,1.37799e-11,-0.240886,,,767,
66,31151068,3-Cl-AHPC,ADRA1B,All,pancan,3.13682e-15,0.279486,,,767,
67,31151069,3-Cl-AHPC,ADSL,All,pancan,2.28411e-15,-0.28083,,,767,
68,31151070,3-Cl-AHPC,AFAP1,All,pancan,1.59965e-14,0.272465,,,767,
69,31151071,3-Cl-AHPC,AFAP1L1,All,pancan,3.22759e-11,0.236581,,,767,
70,31151072,3-Cl-AHPC,AFAP1L2,All,pancan,4.69024e-11,0.234663,,,767,
71,31151073,3-Cl-AHPC,AFF2-IT1,All,pancan,2.97121e-09,-0.212138,,,767,
72,31151074,3-Cl-AHPC,AFF4,All,pancan,6.76963e-09,0.20736,,,767,
73,31151075,3-Cl-AHPC,AFMID,All,pancan,4.23932e-12,-0.246715,,,767,
74,31151076,3-Cl-AHPC,AGAP1-IT1,All,pancan,2.44734e-10,0.225978,,,767,
75,31151077,3-Cl-AHPC,AGAP2,All,pancan,7.06572e-29,-0.387445,,,767,
76,31151078,3-Cl-AHPC,AGAP2-AS1,All,pancan,1.75762e-10,0.227747,,,767,
77,31151079,3-Cl-AHPC,AGAP5,All,pancan,9.39206e-09,-0.205429,,,767,
78,31151080,3-Cl-AHPC,AGAP6,All,pancan,6.64489e-12,-0.244511,,,767,
79,31151081,3-Cl-AHPC,AGER,All,pancan,6.93463e-13,-0.255386,,,767,
80,31151082,3-Cl-AHPC,AGO2,All,pancan,1.43197e-08,-0.202912,,,767,
81,31151083,3-Cl-AHPC,AGO3,All,pancan,2.44284e-12,-0.24939,,,767,
82,31151084,3-Cl-AHPC,AGPAT5,All,pancan,2.31628e-23,-0.348795,,,767,
83,31151085,3-Cl-AHPC,AGRN,All,pancan,8.94547e-20,0.320439,,,767,
84,31151086,3-Cl-AHPC,AGTPBP1,All,pancan,1.75001e-15,-0.281953,,,767,
85,31151087,3-Cl-AHPC,AHCTF1,All,pancan,3.51575e-09,-0.211171,,,767,
86,31151088,3-Cl-AHPC,AHNAK,All,pancan,7.19848e-18,0.304055,,,767,
87,31151089,3-Cl-AHPC,AHNAK2,All,pancan,3.45169e-19,0.315505,,,767,
88,31151090,3-Cl-AHPC,AHR,All,pancan,5.09872e-12,0.245812,,,767,
89,31151091,3-Cl-AHPC,AIF1,All,pancan,9.10323e-15,-0.274917,,,767,
90,31151092,3-Cl-AHPC,AIF1L,All,pancan,1.98563e-08,0.20094,,,767,
91,31151093,3-Cl-AHPC,AJUBA,All,pancan,1.67876e-13,0.261959,,,767,
92,31151094,3-Cl-AHPC,AK1,All,pancan,1.62743e-08,0.202142,,,767,
93,31151095,3-Cl-AHPC,AK2,All,pancan,1.95644e-12,-0.250459,,,767,
94,31151096,3-Cl-AHPC,AKAP8,All,pancan,1.13149e-15,-0.28378,,,767,
95,31151097,3-Cl-AHPC,AKAP8L,All,pancan,2.07368e-14,-0.271327,,,767,
96,31151098,3-Cl-AHPC,AKIRIN2,All,pancan,1.3734e-09,-0.216515,,,767,
97,31151099,3-Cl-AHPC,AKNA,All,pancan,1.94125e-14,-0.271617,,,767,
98,31151100,3-Cl-AHPC,AKR1B10,All,pancan,2.20516e-15,0.280979,,,767,
99,31151101,3-Cl-AHPC,ALCAM,All,pancan,9.07953e-12,0.242967,,,767,
100,31151102,3-Cl-AHPC,ALDH1A3,All,pancan,8.93776e-15,0.274997,,,767,
101,31151103,3-Cl-AHPC,ALDH3B1,All,pancan,5.52404e-18,0.305073,,,767,
102,31151104,3-Cl-AHPC,ALDH5A1,All,pancan,2.54706e-09,-0.213019,,,767,
103,31151105,3-Cl-AHPC,ALDH7A1,All,pancan,1.2488e-09,0.217048,,,767,
104,31151106,3-Cl-AHPC,ALG10,All,pancan,1.81054e-09,-0.214958,,,767,
105,31151107,3-Cl-AHPC,ALG10B,All,pancan,3.58368e-10,-0.223922,,,767,
106,31151108,3-Cl-AHPC,ALKBH1,All,pancan,5.16771e-11,-0.234163,,,767,
107,31151109,3-Cl-AHPC,ALKBH2,All,pancan,2.76369e-11,-0.237372,,,767,
108,31151110,3-Cl-AHPC,ALMS1,All,pancan,7.6776e-11,-0.232109,,,767,
109,31151111,3-Cl-AHPC,ALS2CL,All,pancan,7.98684e-15,0.275483,,,767,
110,31151112,3-Cl-AHPC,ALYREF,All,pancan,1.01582e-10,-0.230644,,,767,
111,31151113,3-Cl-AHPC,AMER1,All,pancan,2.62395e-17,-0.299022,,,767,
112,31151114,3-Cl-AHPC,AMIGO2,All,pancan,6.88368e-16,0.285846,,,767,
113,31151115,3-Cl-AHPC,AMOTL2,All,pancan,3.55402e-23,0.347395,,,767,
114,31151116,3-Cl-AHPC,AMY2B,All,pancan,2.07223e-08,-0.200681,,,767,
115,31151117,3-Cl-AHPC,ANAPC1,All,pancan,3.34055e-18,-0.306997,,,767,
116,31151118,3-Cl-AHPC,ANAPC4,All,pancan,1.12656e-12,-0.253094,,,767,
117,31151119,3-Cl-AHPC,ANAPC5,All,pancan,1.96184e-17,-0.300162,,,767,
118,31151120,3-Cl-AHPC,ANAPC7,All,pancan,1.72411e-12,-0.251065,,,767,
119,31151121,3-Cl-AHPC,ANAPC10,All,pancan,1.65586e-08,-0.202038,,,767,
120,31151122,3-Cl-AHPC,ANGEL1,All,pancan,9.11683e-11,-0.231211,,,767,
121,31151123,3-Cl-AHPC,ANGEL2,All,pancan,9.98491e-16,-0.284302,,,767,
122,31151124,3-Cl-AHPC,ANGPTL4,All,pancan,2.41351e-10,0.226053,,,767,
123,31151125,3-Cl-AHPC,ANKLE1,All,pancan,5.0736e-25,-0.360987,,,767,
124,31151126,3-Cl-AHPC,ANKMY1,All,pancan,1.17795e-09,-0.217375,,,767,
125,31151127,3-Cl-AHPC,ANKRD1,All,pancan,6.171e-17,0.295639,,,767,
126,31151128,3-Cl-AHPC,ANKRD2,All,pancan,4.93302e-12,0.245974,,,767,
127,31151129,3-Cl-AHPC,ANKRD13B,All,pancan,3.80536e-14,-0.268645,,,767,
128,31151130,3-Cl-AHPC,ANKRD17,All,pancan,3.32151e-11,-0.236434,,,767,
129,31151131,3-Cl-AHPC,ANKRD18DP,All,pancan,4.93896e-09,-0.209203,,,767,
130,31151132,3-Cl-AHPC,ANKRD29,All,pancan,8.3952e-12,0.243355,,,767,
131,31151133,3-Cl-AHPC,ANKRD30B,All,pancan,7.56362e-10,0.219836,,,767,
132,31151134,3-Cl-AHPC,ANKRD36B,All,pancan,5.59007e-10,-0.2215,,,767,
133,31151135,3-Cl-AHPC,ANKRD36C,All,pancan,1.59544e-08,-0.202262,,,767,
134,31151136,3-Cl-AHPC,ANKRD46,All,pancan,1.51056e-10,-0.228551,,,767,
135,31151137,3-Cl-AHPC,ANLN,All,pancan,3.86549e-11,0.235658,,,767,
136,31151138,3-Cl-AHPC,ANO1,All,pancan,6.33322e-09,0.207751,,,767,
137,31151139,3-Cl-AHPC,ANO10,All,pancan,1.92713e-13,0.261327,,,767,
138,31151140,3-Cl-AHPC,ANP32A,All,pancan,9.11494e-40,-0.45136,,,767,
139,31151141,3-Cl-AHPC,ANP32B,All,pancan,4.50916e-38,-0.442272,,,767,
140,31151142,3-Cl-AHPC,ANP32E,All,pancan,1.28047e-30,-0.398643,,,767,
141,31151143,3-Cl-AHPC,ANXA1,All,pancan,1.17312e-09,0.217398,,,767,
142,31151144,3-Cl-AHPC,ANXA2,All,pancan,6.10199e-23,0.345617,,,767,
143,31151145,3-Cl-AHPC,ANXA2P2,All,pancan,4.48427e-19,0.314538,,,767,
144,31151146,3-Cl-AHPC,ANXA3,All,pancan,6.94336e-10,0.220309,,,767,
145,31151147,3-Cl-AHPC,ANXA4,All,pancan,8.89817e-21,0.328665,,,767,
146,31151148,3-Cl-AHPC,ANXA5,All,pancan,4.63604e-18,0.305745,,,767,
147,31151149,3-Cl-AHPC,AOX1,All,pancan,3.17856e-12,0.248117,,,767,
148,31151150,3-Cl-AHPC,AP1M2,All,pancan,1.20345e-10,0.229753,,,767,
149,31151151,3-Cl-AHPC,AP1S1,All,pancan,4.06644e-10,0.223237,,,767,
150,31151152,3-Cl-AHPC,AP4B1,All,pancan,1.40804e-18,-0.310268,,,767,
151,31151153,3-Cl-AHPC,AP4B1-AS1,All,pancan,2.15127e-11,-0.238644,,,767,
152,31151154,3-Cl-AHPC,APBA3,All,pancan,4.08244e-11,-0.235377,,,767,
153,31151155,3-Cl-AHPC,APEX1,All,pancan,5.15513e-17,-0.296354,,,767,
154,31151156,3-Cl-AHPC,APIP,All,pancan,1.96465e-09,-0.214496,,,767,
155,31151157,3-Cl-AHPC,APLP2,All,pancan,3.40604e-15,0.279136,,,767,
156,31151158,3-Cl-AHPC,APMAP,All,pancan,1.45057e-13,0.262625,,,767,
157,31151159,3-Cl-AHPC,APOL4,All,pancan,3.6999e-10,-0.223749,,,767,
158,31151160,3-Cl-AHPC,APP,All,pancan,1.79936e-22,0.342026,,,767,
159,31151161,3-Cl-AHPC,AQR,All,pancan,2.23125e-12,-0.249827,,,767,
160,31151162,3-Cl-AHPC,ARAP3,All,pancan,6.40362e-09,0.207686,,,767,
161,31151163,3-Cl-AHPC,AREG,All,pancan,9.04475e-09,0.205652,,,767,
162,31151164,3-Cl-AHPC,ARF4,All,pancan,3.22504e-19,0.315755,,,767,
163,31151165,3-Cl-AHPC,ARFGAP1,All,pancan,2.87196e-09,0.212332,,,767,
164,31151166,3-Cl-AHPC,ARFGEF3,All,pancan,2.60604e-11,0.237671,,,767,
165,31151167,3-Cl-AHPC,ARGLU1,All,pancan,5.91316e-14,-0.266679,,,767,
166,31151168,3-Cl-AHPC,ARHGAP4,All,pancan,1.14601e-14,-0.273919,,,767,
167,31151169,3-Cl-AHPC,ARHGAP5-AS1,All,pancan,3.59479e-10,0.223905,,,767,
168,31151170,3-Cl-AHPC,ARHGAP9,All,pancan,3.67724e-21,-0.33175,,,767,
169,31151171,3-Cl-AHPC,ARHGAP11A,All,pancan,3.64416e-12,-0.247453,,,767,
170,31151172,3-Cl-AHPC,ARHGAP11B,All,pancan,1.2169e-17,-0.302024,,,767,
171,31151173,3-Cl-AHPC,ARHGAP12,All,pancan,3.45536e-17,0.297938,,,767,
172,31151174,3-Cl-AHPC,ARHGAP15,All,pancan,5.03811e-14,-0.267395,,,767,
173,31151175,3-Cl-AHPC,ARHGAP18,All,pancan,7.29457e-09,0.206921,,,767,
174,31151176,3-Cl-AHPC,ARHGAP19,All,pancan,3.19918e-34,-0.420531,,,767,
175,31151177,3-Cl-AHPC,ARHGAP19-SLIT1,All,pancan,3.22003e-13,-0.258963,,,767,
176,31151178,3-Cl-AHPC,ARHGAP21,All,pancan,2.12847e-08,0.200518,,,767,
177,31151179,3-Cl-AHPC,ARHGAP25,All,pancan,9.20254e-12,-0.2429,,,767,
178,31151180,3-Cl-AHPC,ARHGAP29,All,pancan,1.27664e-22,0.343171,,,767,
179,31151181,3-Cl-AHPC,ARHGAP30,All,pancan,3.52219e-16,-0.288605,,,767,
180,31151182,3-Cl-AHPC,ARHGAP33,All,pancan,9.55087e-10,-0.218544,,,767,
181,31151183,3-Cl-AHPC,ARHGAP42,All,pancan,1.15961e-14,0.273867,,,767,
182,31151184,3-Cl-AHPC,ARHGAP45,All,pancan,4.68344e-14,-0.267721,,,767,
183,31151185,3-Cl-AHPC,ARHGEF1,All,pancan,1.47187e-12,-0.251821,,,767,
184,31151186,3-Cl-AHPC,ARHGEF5,All,pancan,2.00318e-15,0.281384,,,767,
185,31151187,3-Cl-AHPC,ARHGEF6,All,pancan,1.32746e-08,-0.203367,,,767,
186,31151188,3-Cl-AHPC,ARHGEF7,All,pancan,1.25352e-08,-0.20371,,,767,
187,31151189,3-Cl-AHPC,ARHGEF10L,All,pancan,2.75096e-18,0.307735,,,767,
188,31151190,3-Cl-AHPC,ARHGEF16,All,pancan,1.50697e-09,0.215994,,,767,
189,31151191,3-Cl-AHPC,ARHGEF17,All,pancan,4.17068e-12,0.246795,,,767,
190,31151192,3-Cl-AHPC,ARHGEF28,All,pancan,2.85467e-24,0.355541,,,767,
191,31151193,3-Cl-AHPC,ARHGEF34P,All,pancan,4.44402e-15,0.278002,,,767,
192,31151194,3-Cl-AHPC,ARHGEF35,All,pancan,2.14286e-14,0.271183,,,767,
193,31151195,3-Cl-AHPC,ARHGEF37,All,pancan,5.15236e-11,0.234179,,,767,
194,31151196,3-Cl-AHPC,ARID1A,All,pancan,1.37779e-22,-0.342917,,,767,
195,31151197,3-Cl-AHPC,ARID1B,All,pancan,7.30833e-15,-0.275866,,,767,
196,31151198,3-Cl-AHPC,ARID2,All,pancan,1.73005e-17,-0.300653,,,767,
197,31151199,3-Cl-AHPC,ARID3A,All,pancan,9.91523e-13,-0.253699,,,767,
198,31151200,3-Cl-AHPC,ARID3B,All,pancan,1.84766e-11,-0.239412,,,767,
199,31151201,3-Cl-AHPC,ARID5A,All,pancan,1.18925e-09,-0.217322,,,767,
200,31151202,3-Cl-AHPC,ARL1,All,pancan,2.00479e-11,0.239,,,767,
201,31151203,3-Cl-AHPC,ARL4D,All,pancan,1.9202e-10,0.227276,,,767,
202,31151204,3-Cl-AHPC,ARL5A,All,pancan,5.39863e-13,-0.256559,,,767,
203,31151205,3-Cl-AHPC,ARL6IP4,All,pancan,1.2024e-15,-0.283526,,,767,
204,31151206,3-Cl-AHPC,ARL6IP6,All,pancan,3.73641e-09,-0.21082,,,767,
205,31151207,3-Cl-AHPC,ARL11,All,pancan,6.07959e-12,-0.244949,,,767,
206,31151208,3-Cl-AHPC,ARL14,All,pancan,1.67423e-11,0.239909,,,767,
207,31151209,3-Cl-AHPC,ARL14EP,All,pancan,5.01764e-09,-0.209111,,,767,
208,31151210,3-Cl-AHPC,ARL17A,All,pancan,2.56562e-09,-0.212978,,,767,
209,31151211,3-Cl-AHPC,ARL17B,All,pancan,7.79133e-09,-0.206533,,,767,
210,31151212,3-Cl-AHPC,ARMC6,All,pancan,1.4265e-11,-0.240713,,,767,
211,31151213,3-Cl-AHPC,ARMC9,All,pancan,7.44313e-10,0.219925,,,767,
212,31151214,3-Cl-AHPC,ARMC12,All,pancan,7.48056e-09,-0.206773,,,767,
213,31151215,3-Cl-AHPC,ARMS2,All,pancan,6.27908e-09,0.207801,,,767,
214,31151216,3-Cl-AHPC,ARNT,All,pancan,9.52024e-09,-0.205348,,,767,
215,31151217,3-Cl-AHPC,ARNT2,All,pancan,1.80054e-10,0.227618,,,767,
216,31151218,3-Cl-AHPC,ARPC1A,All,pancan,3.56089e-12,0.247565,,,767,
217,31151219,3-Cl-AHPC,ARPC4-TTLL3,All,pancan,4.55214e-11,-0.234817,,,767,
218,31151220,3-Cl-AHPC,ARPIN,All,pancan,1.97606e-12,0.250411,,,767,
219,31151221,3-Cl-AHPC,ARRB2,All,pancan,2.98988e-21,-0.332467,,,767,
220,31151222,3-Cl-AHPC,ARSD,All,pancan,3.24079e-14,0.269358,,,767,
221,31151223,3-Cl-AHPC,ARSL,All,pancan,5.8901e-12,0.245104,,,767,
222,31151224,3-Cl-AHPC,ARSH,All,pancan,2.87328e-09,0.21233,,,767,
223,31151225,3-Cl-AHPC,ARSI,All,pancan,1.08513e-10,0.230298,,,767,
224,31151226,3-Cl-AHPC,ARSJ,All,pancan,1.82955e-19,0.317836,,,767,
225,31151227,3-Cl-AHPC,ASAP2,All,pancan,5.40496e-22,0.338325,,,767,
226,31151228,3-Cl-AHPC,ASB3,All,pancan,1.48751e-10,-0.228633,,,767,
227,31151229,3-Cl-AHPC,ASB9,All,pancan,1.04051e-09,0.218067,,,767,
228,31151230,3-Cl-AHPC,ASB12,All,pancan,1.90799e-08,-0.201181,,,767,
229,31151231,3-Cl-AHPC,ASF1A,All,pancan,6.52611e-14,-0.266237,,,767,
230,31151232,3-Cl-AHPC,ASF1B,All,pancan,1.86413e-09,-0.214793,,,767,
231,31151233,3-Cl-AHPC,ASH1L-AS1,All,pancan,9.86319e-10,-0.218365,,,767,
232,31151234,3-Cl-AHPC,ASH2L,All,pancan,1.54083e-09,-0.215869,,,767,
233,31151235,3-Cl-AHPC,ASL,All,pancan,7.52031e-11,0.232217,,,767,
234,31151236,3-Cl-AHPC,ASPH,All,pancan,4.27214e-24,0.354254,,,767,
235,31151237,3-Cl-AHPC,ASPRV1,All,pancan,3.15061e-10,-0.224619,,,767,
236,31151238,3-Cl-AHPC,ATAD2B,All,pancan,8.3129e-18,-0.303499,,,767,
237,31151239,3-Cl-AHPC,ATAD5,All,pancan,2.28508e-22,-0.341226,,,767,
238,31151240,3-Cl-AHPC,ATF4,All,pancan,1.16435e-11,-0.241729,,,767,
239,31151241,3-Cl-AHPC,ATF5,All,pancan,2.2657e-13,-0.260585,,,767,
240,31151242,3-Cl-AHPC,ATF7IP2,All,pancan,5.69533e-09,-0.208372,,,767,
241,31151243,3-Cl-AHPC,ATG4C,All,pancan,1.04533e-18,-0.311386,,,767,
242,31151244,3-Cl-AHPC,ATG16L2,All,pancan,3.41356e-10,-0.224186,,,767,
243,31151245,3-Cl-AHPC,ATIC,All,pancan,1.36671e-08,-0.203192,,,767,
244,31151246,3-Cl-AHPC,ATL3,All,pancan,5.99052e-09,0.208077,,,767,
245,31151247,3-Cl-AHPC,ATP1A2,All,pancan,5.51473e-10,0.221574,,,767,
246,31151248,3-Cl-AHPC,ATP1B1,All,pancan,6.79821e-16,0.285898,,,767,
247,31151249,3-Cl-AHPC,ATP1B4,All,pancan,8.08672e-09,-0.206314,,,767,
248,31151250,3-Cl-AHPC,ATP2A3,All,pancan,2.53792e-12,-0.249206,,,767,
249,31151251,3-Cl-AHPC,ATP2C2,All,pancan,7.61858e-11,0.232149,,,767,
250,31151252,3-Cl-AHPC,ATP2C2-AS1,All,pancan,4.91619e-11,0.234421,,,767,
251,31151253,3-Cl-AHPC,ATP5F1A,All,pancan,9.4175e-14,-0.264585,,,767,
252,31151254,3-Cl-AHPC,ATP5F1AP3,All,pancan,1.38114e-08,-0.203129,,,767,
253,31151255,3-Cl-AHPC,ATP5MC2,All,pancan,3.09123e-09,-0.211911,,,767,
254,31151256,3-Cl-AHPC,ATP5PO,All,pancan,1.08561e-08,-0.204568,,,767,
255,31151257,3-Cl-AHPC,DMAC2L,All,pancan,1.93716e-11,-0.239173,,,767,
256,31151258,3-Cl-AHPC,ATP6AP1,All,pancan,6.37789e-11,0.233074,,,767,
257,31151259,3-Cl-AHPC,ATP6AP2,All,pancan,1.41457e-18,0.31025,,,767,
258,31151260,3-Cl-AHPC,ATP6V1D,All,pancan,3.2542e-12,0.248003,,,767,
259,31151261,3-Cl-AHPC,ATP6V1G2,All,pancan,1.17995e-08,-0.204071,,,767,
260,31151262,3-Cl-AHPC,ATP6V1G2-DDX39B,All,pancan,1.82176e-10,-0.227556,,,767,
261,31151263,3-Cl-AHPC,ATP6V0A2,All,pancan,1.88073e-17,-0.300327,,,767,
262,31151264,3-Cl-AHPC,ATP6V0A4,All,pancan,6.87275e-20,0.321391,,,767,
263,31151265,3-Cl-AHPC,ATP6V0E1,All,pancan,7.59897e-20,0.321029,,,767,
264,31151266,3-Cl-AHPC,ATP8A1,All,pancan,1.58035e-11,-0.240199,,,767,
265,31151267,3-Cl-AHPC,ATP8B1,All,pancan,8.7059e-17,0.294264,,,767,
266,31151268,3-Cl-AHPC,ATP9A,All,pancan,2.77377e-16,0.289582,,,767,
267,31151269,3-Cl-AHPC,ATP13A1,All,pancan,3.09617e-13,-0.259145,,,767,
268,31151270,3-Cl-AHPC,ATP23,All,pancan,4.86287e-18,-0.305562,,,767,
269,31151271,3-Cl-AHPC,ATPAF2,All,pancan,5.30607e-10,-0.221785,,,767,
270,31151272,3-Cl-AHPC,ATRIP,All,pancan,2.84859e-11,-0.237218,,,767,
271,31151273,3-Cl-AHPC,ATXN1,All,pancan,2.11832e-08,0.200547,,,767,
272,31151274,3-Cl-AHPC,ATXN2L,All,pancan,7.74806e-19,-0.312505,,,767,
273,31151275,3-Cl-AHPC,ATXN3,All,pancan,2.06134e-12,-0.250208,,,767,
274,31151276,3-Cl-AHPC,ATXN7L2,All,pancan,6.01591e-33,-0.412973,,,767,
275,31151277,3-Cl-AHPC,ATXN7L3,All,pancan,3.2978e-12,-0.247938,,,767,
276,31151278,3-Cl-AHPC,ATXN7L3B,All,pancan,3.48904e-10,-0.224067,,,767,
277,31151279,3-Cl-AHPC,AUNIP,All,pancan,6.29434e-13,-0.255841,,,767,
278,31151280,3-Cl-AHPC,AURKB,All,pancan,1.51413e-14,-0.272705,,,767,
279,31151281,3-Cl-AHPC,AVPI1,All,pancan,1.67865e-17,0.300771,,,767,
280,31151282,3-Cl-AHPC,AXL,All,pancan,4.44972e-16,0.287646,,,767,
281,31151283,3-Cl-AHPC,B3GALT5,All,pancan,3.30272e-14,0.269274,,,767,
282,31151284,3-Cl-AHPC,B3GNT3,All,pancan,1.8249e-10,0.227547,,,767,
283,31151285,3-Cl-AHPC,B4GALT1,All,pancan,1.19556e-11,0.241597,,,767,
284,31151286,3-Cl-AHPC,B4GALT1-AS1,All,pancan,7.54049e-13,0.254992,,,767,
285,31151287,3-Cl-AHPC,B4GALT4,All,pancan,1.25885e-17,0.301892,,,767,
286,31151288,3-Cl-AHPC,B4GALT7,All,pancan,1.58464e-11,0.240185,,,767,
