,gene,standard_drug_name,dataset,cancer_type,effect size,pvalue,n_mut,n_wt
47,AACS,SB52334,All,pancan,-0.664284,0.506508,34,877
48,AACS,STF-31,All,pancan,0.903904,0.366046,20,658
49,AACS,ceranib-2,All,pancan,0.313938,0.753568,22,692
50,AACS,Erlotinib,All,pancan,-0.667249,0.504613,37,1057
51,AACS,spautin-1,All,pancan,-2.01715,0.0436796,22,674
52,AACS,tigecycline,All,pancan,1.10757,0.268046,13,360
53,AACS,MG-132,All,pancan,-1.37849,0.168051,35,919
54,AACS,PF-562271,All,pancan,-1.17331,0.240672,32,849
55,AACS,XMD13-2,All,pancan,-1.65502,0.0979213,34,879
56,AACS,tacedinaline,All,pancan,1.03923,0.2987,11,485
57,AACS,ubistatin B,All,pancan,2.12767,0.0333646,11,201
58,AACS,maraviroc,All,pancan,1.17867,0.238528,11,201
59,AACS,GDC-0879,All,pancan,-0.913813,0.360815,21,667
60,AACS,MK-591,All,pancan,0.946472,0.343908,11,201
61,AACS,CAY10603,All,pancan,-0.768968,0.441912,34,875
62,AACS,BRD-K66532283,All,pancan,1.08814,0.276533,22,649
63,AACS,Capivasertib,All,pancan,0.446105,0.655521,35,899
64,AACS,chlorambucil,All,pancan,0.98996,0.322194,21,658
65,AACS,NVP-BSK805,All,pancan,0.115129,0.908343,22,675
66,AACS,salermide,All,pancan,-1.12234,0.26172,15,477
67,AACS,ZD-6474,All,pancan,1.41856,0.156028,13,436
68,AACS,serdemetan:SCH-529074 (1:1 mol/mol),All,pancan,0.169984,0.865023,20,664
69,AACS,navitoclax:sorafenib (1:1 mol/mol),All,pancan,0.296892,0.766549,21,674
70,AACS,MK-2206,All,pancan,0.0469202,0.962577,40,1077
71,AACS,PFI-3,All,pancan,0.67177,0.50173,31,814
72,AACS,PNU-74654,All,pancan,-0.836111,0.403093,10,106
73,AACS,ifosfamide,All,pancan,-2.44873,0.0143361,14,351
74,AACS,Lenvatinib,All,pancan,1.20358,0.228752,20,684
75,AACS,Masitinib,All,pancan,-1.00236,0.316169,40,1066
76,AACS,Methotrexate,All,pancan,0.992593,0.320908,40,1080
77,AACS,Zibotentan,All,pancan,-0.930662,0.352028,34,877
78,AACS,Carmustine,All,pancan,-1.79157,0.0732016,28,696
79,AACS,bendamustine,All,pancan,-0.534959,0.592678,20,618
80,AACS,BRD-K71781559,All,pancan,-0.480885,0.630598,20,650
81,AACS,Dacinostat,All,pancan,-0.542845,0.587237,32,841
82,AACS,GANT-61,All,pancan,0.421737,0.673217,21,672
83,AACS,UNC0321,All,pancan,1.80273,0.0714308,24,696
84,AACS,Platin,All,pancan,0.764075,0.444822,21,693
85,AACS,KIN001-266,All,pancan,-0.330814,0.740785,34,877
86,AACS,PK-11195,All,pancan,1.14063,0.254025,10,107
87,AACS,hyperforin,All,pancan,-2.1454,0.0319208,21,639
88,AACS,CP724714,All,pancan,-0.566033,0.571372,34,879
89,AACS,ZSTK474,All,pancan,-0.646944,0.517668,40,1071
90,AACS,BRD-A71883111,All,pancan,0.846002,0.397552,21,678
91,AACS,Compound 10b,All,pancan,-0.658744,0.51006,11,201
92,AACS,Alisertib,All,pancan,1.38382,0.166415,41,1085
93,AACS,"1S,3R-RSL-3",All,pancan,1.63693,0.101645,24,709
94,AACS,FR-180204,All,pancan,-0.109607,0.912721,34,877
95,AACS,PRT062607,All,pancan,-1.04232,0.297264,28,696
96,AACS,PF-04217903,All,pancan,1.35745,0.174638,10,106
97,AACS,CD532,All,pancan,-0.62416,0.532522,35,887
98,AACS,2-fluoropalmitic acid,All,pancan,1.74577,0.0808509,11,199
99,AACS,HBX-41108,All,pancan,-0.0552731,0.955921,10,490
100,AACS,epigallocatechin-3-monogallate,All,pancan,-0.769089,0.44184,20,610
101,AACS,KU 0060648,All,pancan,-2.0415,0.0412014,24,680
102,AACS,tosedostat,All,pancan,-0.852834,0.393751,22,671
103,AACS,BRD-K51490254,All,pancan,1.16439,0.244265,19,647
104,AACS,VU0155056,All,pancan,0.0949121,0.924385,21,682
105,AACS,Tenovin-6,All,pancan,-0.519429,0.603461,35,884
106,AACS,MPS-1-IN-1,All,pancan,0.146143,0.883809,34,877
107,AACS,dexamethasone,All,pancan,-1.12237,0.261707,22,694
108,AACS,Pyridostatin,All,pancan,-2.08807,0.0367913,26,719
109,AACS,pifithrin-alpha,All,pancan,-0.142751,0.886487,24,691
110,AACS,N9-isopropylolomoucine,All,pancan,-1.69651,0.0897888,24,672
111,AACS,KW-2449,All,pancan,1.07785,0.281099,21,682
112,AACS,YM201636,All,pancan,-0.69152,0.489239,34,877
113,AACS,AZD1208,All,pancan,-1.71458,0.0864228,35,915
114,AACS,Compound 44,All,pancan,0.371017,0.710625,11,201
115,AACS,AZD-7545,All,pancan,-0.688827,0.490932,24,699
116,AACS,Dasatinib,All,pancan,1.12687,0.259797,39,1040
117,AACS,Mitomycin-C,All,pancan,-1.52139,0.128161,32,841
118,AACS,XMD11-85h,All,pancan,1.09224,0.274727,18,475
119,AACS,Dihydrorotenone,All,pancan,0.0737272,0.941227,28,696
120,AACS,Teniposide,All,pancan,-0.885104,0.376101,33,860
121,AACS,AZD4877,All,pancan,-2.23859,0.0251825,34,894
122,AACS,sotrastaurin,All,pancan,-0.440935,0.65926,11,482
123,AACS,GW-405833,All,pancan,-0.116459,0.907289,24,698
124,AACS,BRD4770,All,pancan,-1.36721,0.17156,16,283
125,AACS,navitoclax:pluripotin (1:1 mol/mol),All,pancan,-0.990274,0.32204,21,670
126,AACS,JQ12,All,pancan,-0.518718,0.603957,32,849
127,AACS,ASN 05257430,All,pancan,-2.27505,0.0229028,24,686
128,AACS,WZ3105,All,pancan,-1.87308,0.0610577,34,879
129,AACS,navitoclax:PLX-4032 (1:1 mol/mol),All,pancan,-0.219561,0.826213,20,674
130,AACS,Voxtalisib,All,pancan,-1.17781,0.238874,35,884
131,AACS,cytochalasin B,All,pancan,0.979218,0.327472,24,709
132,AACS,BRD63610,All,pancan,1.61279,0.106791,11,201
133,AACS,ML150,All,pancan,1.07238,0.283547,10,107
134,AACS,marinopyrrole A,All,pancan,-1.90153,0.0572323,10,441
135,AACS,CDK9_5576,All,pancan,-1.1354,0.256208,28,696
136,AACS,Regorafenib,All,pancan,-0.112746,0.910232,20,656
137,AACS,BRD-K13999467,All,pancan,0.95469,0.339734,21,674
138,AACS,TGX221,All,pancan,-0.260106,0.794782,32,883
139,AACS,AKT inhibitor VIII,All,pancan,-0.877839,0.380031,35,893
140,AACS,Trichostatin A,All,pancan,0.129344,0.897085,35,874
141,AACS,Veliparib,All,pancan,-1.18747,0.235042,40,1089
142,AACS,pifithrin-mu,All,pancan,-0.654038,0.513087,24,699
143,AACS,BRD-K41597374,All,pancan,0.66274,0.507497,21,686
144,AACS,Pazopanib,All,pancan,0.212681,0.831575,39,1043
145,AACS,QS11,All,pancan,1.32285,0.185886,37,924
146,AACS,BRD6368,All,pancan,-0.239773,0.810506,11,201
147,AACS,CIL55,All,pancan,-1.45539,0.145563,17,317
148,AACS,selumetinib:PLX-4032 (8:1 mol/mol),All,pancan,-2.39941,0.0164215,22,675
149,AACS,BAY-61-3606,All,pancan,-0.466418,0.640916,32,841
150,AACS,elocalcitol,All,pancan,0.175327,0.860823,21,666
151,AACS,Pilaralisib,All,pancan,-1.02068,0.307407,35,884
152,AACS,semagacestat,All,pancan,-1.10455,0.269355,22,690
153,AACS,tanespimycin:bortezomib (250:1 mol/mol),All,pancan,1.75414,0.0794058,17,647
154,AACS,GW-2580,All,pancan,-0.481857,0.629908,34,879
155,AACS,BRD-K02492147,All,pancan,-2.41897,0.0155646,20,590
156,AACS,MCT4_1422,All,pancan,-0.353325,0.723845,34,894
157,AACS,BRD-M00053801,All,pancan,-0.454332,0.64959,10,443
158,AACS,Elephantin,All,pancan,-1.84687,0.0647664,28,696
159,AACS,BRD-K71935468,All,pancan,0.663897,0.506756,18,651
160,AACS,cyanoquinoline 11,All,pancan,-1.04605,0.295539,19,430
161,AACS,BRD-K96970199,All,pancan,-0.0892315,0.928898,10,191
162,AACS,S-Trityl-L-cysteine,All,pancan,-0.99444,0.320009,16,380
163,AACS,IAP_5620,All,pancan,-0.432803,0.665158,35,915
164,AACS,Tipifarnib,All,pancan,-0.609986,0.541871,32,841
165,AACS,selumetinib:MK-2206 (8:1 mol/mol),All,pancan,-1.67914,0.0931249,23,671
166,AACS,OF-1,All,pancan,-0.28385,0.776525,28,696
167,AACS,rTRAIL,All,pancan,-0.0701862,0.944045,33,881
168,AACS,salermide:PLX-4032 (12:1 mol/mol),All,pancan,-0.333726,0.738586,17,628
169,AACS,Cisplatin,All,pancan,-1.51841,0.128911,36,922
170,AACS,GSK269962A,All,pancan,1.31877,0.187246,36,919
171,AACS,BMS-536924,All,pancan,-0.480601,0.6308,41,1106
172,AACS,OSU-03012,All,pancan,-0.343563,0.731175,32,841
173,AACS,PD 153035,All,pancan,-1.87802,0.0603781,10,488
174,AACS,decitabine:carboplatin (1:1 mol/mol),All,pancan,0.700456,0.483643,22,675
175,AACS,VER-155008,All,pancan,0.586825,0.557321,24,713
176,AACS,AZ20,All,pancan,0.534241,0.593175,35,899
177,AACS,NSC-87877,All,pancan,-0.0919964,0.926701,32,849
178,AACS,AZ628,All,pancan,1.39615,0.162671,16,383
179,AACS,"16,16-dimethylprostaglandin-E2",All,pancan,-1.07295,0.283295,11,199
180,AACS,VX-11e,All,pancan,-0.640641,0.521756,34,910
181,AACS,IPR-456,All,pancan,0.84725,0.396856,21,681
182,AACS,prochlorperazine,All,pancan,-0.0413192,0.967041,21,666
183,AACS,TAF1_5496,All,pancan,0.0672761,0.946362,28,696
184,AACS,BIBR-1532,All,pancan,-0.524533,0.599908,36,980
185,AACS,WZ8040,All,pancan,-0.8698,0.384409,14,595
186,AACS,Sabutoclax,All,pancan,-2.10399,0.0353792,28,696
187,AACS,LY-2157299,All,pancan,-0.360459,0.718504,10,183
188,AACS,SJ-172550,All,pancan,-1.40344,0.160486,24,695
189,AACS,IGFR_3801,All,pancan,-0.33442,0.738063,34,894
190,AACS,gossypol,All,pancan,0.347228,0.72842,24,680
191,AACS,birinapant,All,pancan,-0.260055,0.794821,21,678
192,AACS,XAV939,All,pancan,1.56186,0.118321,36,945
193,AACS,TANK_1366,All,pancan,-0.287484,0.773742,34,894
194,AACS,Docetaxel,All,pancan,-0.31188,0.755131,37,1001
195,AACS,NVP-TAE684,All,pancan,0.99116,0.321608,33,928
196,AACS,SB-525334,All,pancan,-0.0285293,0.97724,21,678
197,AACS,BRD55319,All,pancan,-0.764469,0.444588,22,661
198,AACS,FQI-2,All,pancan,-1.19584,0.231758,24,709
199,AACS,BRD-K75293299,All,pancan,-1.47232,0.140935,10,191
200,AACS,LGK974,All,pancan,0.0221746,0.982309,36,919
201,AACS,Vincristine,All,pancan,-0.492386,0.622447,36,976
202,AACS,leptomycin B,All,pancan,-0.659204,0.509765,23,708
203,AACS,Bryostatin 1,All,pancan,-0.0157139,0.987463,32,841
204,AACS,PI3Ka_4409,All,pancan,-0.0691004,0.94491,34,894
205,AACS,CD-437,All,pancan,-0.574215,0.565822,23,707
206,AACS,SID 26681509,All,pancan,-2.01473,0.0439329,22,651
207,AACS,BRD9876,All,pancan,-0.702078,0.482631,22,665
208,AACS,lomeguatrib,All,pancan,0.82308,0.410462,21,688
209,AACS,ISOX:bortezomib (250:1 mol/mol),All,pancan,0.352126,0.724744,21,646
210,AACS,BRD-K14844214,All,pancan,1.71873,0.085664,18,649
211,AACS,Linsitinib,All,pancan,1.2883,0.197642,41,1083
212,AACS,Alda-1,All,pancan,1.27824,0.201165,11,200
213,AACS,BEC,All,pancan,0.474097,0.635431,17,342
214,AACS,BRD-K07442505,All,pancan,0.966379,0.333854,22,681
215,AACS,BRD-K33199242,All,pancan,-2.83786,0.00454166,21,673
216,AACS,Decitabine,All,pancan,-0.115265,0.908235,22,687
217,AACS,BRD-K30019337,All,pancan,-0.420016,0.674474,11,198
218,AACS,erlotinib:PLX-4032 (2:1 mol/mol),All,pancan,0.565249,0.571904,17,625
219,AACS,Midostaurin,All,pancan,0.587362,0.556961,32,849
220,AACS,WYE-125132,All,pancan,-0.567477,0.57039,35,884
221,AACS,Idelalisib,All,pancan,-0.999951,0.317334,40,1073
222,AACS,RAF_9304,All,pancan,-1.79922,0.0719843,34,894
223,AACS,Tanespimycin,All,pancan,0.533353,0.593789,40,1097
224,AACS,RAF265,All,pancan,0.735889,0.461798,23,659
225,AACS,alisertib:navitoclax (2:1 mol/mol),All,pancan,0.503634,0.614518,19,626
226,AACS,Ibrutinib,All,pancan,-0.0506688,0.959589,32,878
227,AACS,BRD-K26531177,All,pancan,0.708798,0.47845,17,627
228,AACS,KIN001-260,All,pancan,-0.474963,0.634813,34,877
229,AACS,KU-0063794,All,pancan,0.821741,0.411224,21,685
230,AACS,Venotoclax,All,pancan,0.088178,0.929735,35,872
231,AACS,purmorphamine,All,pancan,1.18446,0.236231,22,667
232,AACS,PT-630,All,pancan,-1.6897,0.091085,11,199
233,AACS,KIN001-236,All,pancan,0.548034,0.583668,34,877
234,AACS,glibenclamide,All,pancan,-1.15343,0.248732,11,201
235,AACS,Entinostat,All,pancan,0.0673046,0.946339,39,1031
236,AACS,Foretinib,All,pancan,1.39499,0.16302,40,1083
237,AACS,KH-CB19,All,pancan,1.25831,0.208281,11,468
238,AACS,AT-7519,All,pancan,-1.72277,0.0849299,35,881
239,AACS,AZ-3146,All,pancan,0.720486,0.471226,21,659
240,AACS,Axitinib,All,pancan,0.17276,0.86284,40,1083
241,AACS,dalcetrapib,All,pancan,2.2993,0.0214882,11,201
242,AACS,AZD3514,All,pancan,0.0351635,0.971949,34,895
243,AACS,MCT1_6447,All,pancan,-0.0730117,0.941797,34,894
244,AACS,AZD5991,All,pancan,0.267261,0.789268,28,696
245,AACS,ZM336372,All,pancan,0.501666,0.615902,10,106
246,AACS,AST-1306,All,pancan,0.657078,0.511131,35,884
247,AACS,WZ4002,All,pancan,-0.506996,0.612157,10,485
248,AACS,NSC23766,All,pancan,-0.539022,0.589872,24,696
249,AACS,Sapitinib,All,pancan,0.203746,0.838552,30,770
250,AACS,GSK1070916,All,pancan,-0.225729,0.821412,35,881
251,AACS,OSW-1,All,pancan,-0.789989,0.429534,11,201
252,AACS,BAM7,All,pancan,0.750458,0.452979,35,874
253,AACS,BRD-K17060750,All,pancan,-1.22064,0.222222,21,683
254,AACS,JW-480,All,pancan,-0.754917,0.450299,21,670
255,AACS,Mirin,All,pancan,-1.99532,0.0460076,35,896
256,AACS,GSK1904529A,All,pancan,0.0474586,0.962148,34,909
257,AACS,Sorafenib,All,pancan,-1.47485,0.140253,37,1061
258,AACS,PCI-34051,All,pancan,-0.158514,0.874052,28,696
259,AACS,canertinib,All,pancan,0.420232,0.674316,20,655
260,AACS,A-770041,All,pancan,1.42333,0.15464,16,381
261,AACS,TL-2-105,All,pancan,-0.230289,0.817867,35,881
262,AACS,GSK-3 inhibitor IX,All,pancan,0.946737,0.343773,21,657
263,AACS,JQ1,All,pancan,-1.36468,0.172354,41,1090
264,AACS,PF-3845,All,pancan,0.300347,0.763912,11,201
265,AACS,omacetaxine mepesuccinate,All,pancan,-0.203105,0.839053,11,498
266,AACS,ZG-10,All,pancan,-0.770301,0.441122,18,475
267,AACS,KU-60019,All,pancan,-1.37441,0.169315,40,1078
268,AACS,A-83-01,All,pancan,0.286908,0.774183,35,872
269,AACS,MN-64,All,pancan,-0.146533,0.883501,28,696
270,AACS,PDMP,All,pancan,-0.261495,0.793711,23,669
271,AACS,SB590885,All,pancan,-1.8541,0.0637251,34,876
272,AACS,vandetanib,All,pancan,0.313986,0.753532,20,668
273,AACS,VAF-347,All,pancan,-1.24364,0.213634,11,440
274,AACS,BRD-K29313308,All,pancan,1.52648,0.126891,20,666
275,AACS,BRD8899,All,pancan,-0.464564,0.642243,23,680
276,AACS,Palbociclib,All,pancan,-0.255639,0.79823,37,987
277,AACS,Saracatinib,All,pancan,0.428081,0.668592,33,934
278,AACS,BML-259,All,pancan,0.0393464,0.968614,10,106
279,AACS,SNX-2112:bortezomib (250:1 mol/mol),All,pancan,0.405325,0.685239,22,681
280,AACS,Carboplatin,All,pancan,0.285929,0.774933,22,686
281,AACS,B02,All,pancan,0.600958,0.547868,23,666
282,AACS,AZD3759,All,pancan,-0.812629,0.416431,26,729
283,AACS,IAP_7638,All,pancan,-1.04644,0.295358,34,895
284,AACS,Refametinib,All,pancan,-0.171786,0.863605,35,911
285,AACS,ML160,All,pancan,0.779916,0.43544,10,107
286,AACS,I-BRD9,All,pancan,-1.02315,0.306235,26,721
287,AACS,Ponatinib,All,pancan,0.349586,0.726649,32,849
288,AACS,navitoclax:piperlongumine (1:1 mol/mol),All,pancan,-0.910596,0.362508,17,636
289,AACS,CCT036477,All,pancan,-1.46463,0.143022,24,692
290,AACS,Imatinib,All,pancan,-0.559293,0.575962,32,876
291,AACS,Doxorubicin,All,pancan,-2.50571,0.0122205,41,1099
292,AACS,Enzastaurin,All,pancan,-0.739075,0.459861,35,881
293,AACS,"eEF2K Inhibitor, A-484954",All,pancan,0.0590851,0.952884,35,884
294,AACS,UNC0638:navitoclax (1:1 mol/mol),All,pancan,-0.39592,0.692164,18,634
295,AACS,erastin,All,pancan,0.890385,0.373259,24,696
296,AACS,THZ-2-102-1,All,pancan,-1.65805,0.0973067,34,877
297,AACS,Temsirolimus,All,pancan,0.833833,0.404375,39,1005
298,AACS,tandutinib,All,pancan,1.06164,0.288398,21,673
299,AACS,BRD7137,All,pancan,-1.14839,0.250809,11,201
300,AACS,PF-184,All,pancan,0.572363,0.567076,22,657
301,AACS,ML311,All,pancan,0.436354,0.66258,22,691
302,AACS,KIN001-042,All,pancan,-2.52508,0.0115673,35,884
303,AACS,PP-30,All,pancan,0.825323,0.409188,11,201
304,AACS,BRD-K28456706,All,pancan,0.357171,0.720964,21,660
305,AACS,BRD-K55473186,All,pancan,0.817778,0.413484,11,450
306,AACS,Bleomycin (50 uM),All,pancan,-1.53222,0.125469,34,895
307,AACS,BRD-K20514654,All,pancan,-0.436065,0.66279,14,362
308,AACS,AZD8835,All,pancan,-0.73468,0.462534,34,894
309,AACS,selumetinib:vorinostat (8:1 mol/mol),All,pancan,-1.11129,0.266442,22,608
310,AACS,BRD-K16147474,All,pancan,-0.841191,0.400241,21,615
311,AACS,WT-161,All,pancan,1.51688,0.129297,11,201
312,AACS,SR1001,All,pancan,0.133613,0.893708,21,668
313,AACS,AZD7969,All,pancan,-0.811603,0.417019,34,894
314,AACS,niclosamide,All,pancan,-2.03588,0.0417627,21,676
315,AACS,navitoclax:MST-312 (1:1 mol/mol),All,pancan,-1.67464,0.0940049,21,654
316,AACS,4-methylfasudil,All,pancan,0.259964,0.794891,11,201
317,AACS,(5Z)-7-Oxozeaenol,All,pancan,-1.52306,0.127743,33,874
318,AACS,AGK-2,All,pancan,-1.7132,0.086676,24,700
319,AACS,compound 1B,All,pancan,-0.216518,0.828584,20,655
320,AACS,navitoclax:birinapant (1:1 mol/mol),All,pancan,-1.74693,0.0806495,21,673
321,AACS,ABT737,All,pancan,-0.056129,0.955239,34,967
322,AACS,Temozolomide,All,pancan,-1.42813,0.153254,41,1088
323,AACS,Paclitaxel,All,pancan,-0.48004,0.631199,37,1056
324,AACS,SNX-2112,All,pancan,-1.06549,0.286654,41,1080
325,AACS,QL-XII-61,All,pancan,0.99948,0.317562,17,453
326,AACS,Pyrimethamine,All,pancan,-0.263973,0.791801,16,382
327,AACS,GSK2578215A,All,pancan,-0.536554,0.591576,26,721
328,AACS,BRD1812,All,pancan,0.344838,0.730216,24,693
329,AACS,BRD-K16130065,All,pancan,-1.4156,0.156894,10,195
330,AACS,lovastatin acid,All,pancan,-0.152068,0.879134,24,713
331,AACS,QL-X-138,All,pancan,-1.45551,0.145527,34,879
332,AACS,BI-2536,All,pancan,-0.0608609,0.95147,34,910
333,AACS,RVX-208,All,pancan,-0.490286,0.623931,28,696
334,AACS,ML159,All,pancan,0.711673,0.476667,10,107
335,AACS,BRD9647,All,pancan,0.640426,0.521896,24,681
336,AACS,brefeldin A,All,pancan,-1.10476,0.269262,23,672
337,AACS,oligomycin A,All,pancan,-0.46384,0.642763,23,713
338,AACS,LBH-589,All,pancan,0.21074,0.83309,22,686
339,AACS,TGX-115,All,pancan,1.30867,0.190645,11,200
340,AACS,Gefitinib,All,pancan,-1.85509,0.0635833,41,1089
341,AACS,UNC0642,All,pancan,0.498875,0.617867,33,871
342,AACS,Sepantronium bromide,All,pancan,-1.13886,0.25476,40,1082
343,AACS,Tamoxifen,All,pancan,-1.16427,0.244313,41,1080
344,AACS,fumagillol,All,pancan,0.882593,0.377456,11,200
345,AACS,ELCPK,All,pancan,-0.184583,0.853556,17,378
346,AACS,CID 2853753,All,pancan,0.782691,0.433809,10,108
347,AACS,Savolitinib,All,pancan,-1.7771,0.0755511,26,721
348,AACS,DMOG,All,pancan,0.435921,0.662894,32,849
349,AACS,Gemcitabine,All,pancan,-0.965934,0.334077,41,1096
350,AACS,selumetinib:JQ-1 (4:1 mol/mol),All,pancan,-1.34692,0.178005,21,662
351,AACS,Venetoclax,All,pancan,-1.53533,0.124702,30,874
352,AACS,capsaicin,All,pancan,1.28445,0.198985,11,186
353,AACS,JW-7-52-1,All,pancan,-1.57234,0.115872,16,381
354,AACS,kinetin riboside,All,pancan,0.229677,0.818343,11,201
355,AACS,BRD-K64610608,All,pancan,0.0720922,0.942528,20,645
356,AACS,Amuvatinib,All,pancan,0.293621,0.769047,34,879
357,AACS,Bortezomib,All,pancan,0.0693496,0.944711,39,1052
358,AACS,Vinblastine,All,pancan,-0.587615,0.556791,36,920
359,AACS,Sunitinib,All,pancan,0.423325,0.672058,31,877
360,AACS,ciclosporin,All,pancan,-0.894724,0.370934,23,684
361,AACS,FH535,All,pancan,-0.00714269,0.994301,32,841
362,AACS,Bicalutamide,All,pancan,1.09005,0.275693,36,925
363,AACS,Compound 23 citrate,All,pancan,-0.470041,0.638326,23,685
364,AACS,WHI-P97,All,pancan,-0.175371,0.860788,34,877
365,AACS,IPA-3,All,pancan,-0.590701,0.554721,32,841
366,AACS,BRD8958,All,pancan,-0.930912,0.351899,24,672
367,AACS,CD-1530,All,pancan,-0.130379,0.896266,23,664
368,AACS,JW-7-24-1,All,pancan,-1.09561,0.273249,34,879
369,AACS,clofarabine,All,pancan,1.35689,0.174816,22,694
370,AACS,Vismodegib,All,pancan,2.6912,0.00711945,36,946
371,AACS,Avagacestat,All,pancan,-1.41798,0.156196,36,932
372,AACS,selumetinib:navitoclax (8:1 mol/mol),All,pancan,-1.86544,0.0621193,22,647
373,AACS,VX-702,All,pancan,-0.261835,0.793449,35,908
374,AACS,MK-8776,All,pancan,-1.80144,0.0716339,26,719
375,AACS,BRD-K34485477,All,pancan,-2.43191,0.0150195,11,185
376,AACS,LY-2183240,All,pancan,-0.0744708,0.940636,23,701
377,AACS,MGCD-265,All,pancan,2.24356,0.0248607,21,683
378,AACS,KRAS (G12C) Inhibitor-12,All,pancan,-1.61647,0.105993,28,696
379,AACS,PLK_6522,All,pancan,-1.44654,0.148024,34,894
380,AACS,SKI-II,All,pancan,-0.776057,0.437715,24,681
381,AACS,RO-3306,All,pancan,0.121431,0.90335,35,908
382,AACS,StemRegenin 1,All,pancan,-0.344305,0.730617,20,678
383,AACS,Tubastatin A,All,pancan,0.254014,0.799485,40,991
384,AACS,sirolimus:bortezomib (250:1 mol/mol),All,pancan,1.03023,0.302901,22,694
385,AACS,docetaxel:tanespimycin (2:1 mol/mol),All,pancan,-0.697172,0.485695,23,689
386,AACS,BRD-K63431240,All,pancan,0.509423,0.610456,21,688
387,AACS,BRD-K48334597,All,pancan,0.488881,0.624926,10,194
388,AACS,Shikonin,All,pancan,-1.38207,0.166951,32,849
389,AACS,necrostatin-7,All,pancan,2.37025,0.0177759,22,685
390,AACS,FEN1_3940,All,pancan,-0.901564,0.367288,34,894
391,AACS,brivanib,All,pancan,2.13432,0.0328165,20,657
392,AACS,BRD-K11533227,All,pancan,0.650968,0.515067,18,629
393,AACS,cucurbitacin I,All,pancan,-0.812316,0.41661,18,661
394,AACS,BPD-00008900,All,pancan,0.623513,0.532948,26,721
395,AACS,SB-225002,All,pancan,-0.284426,0.776084,24,721
396,AACS,BDP-00009066,All,pancan,-1.0139,0.310629,26,721
397,AACS,CIL56,All,pancan,0.0226584,0.981923,18,387
